SEASON,DATE,PLAYER FULLNAME,POSITION,OWNTEAM,OPPTEAM,VENUE,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2017-2018 Regular Season,10/17/2017,PJ Tucker,SF,Houston,Golden State,R,28.7,6,9,4,6,4,6,1,5,6,0,3,1,1,0,20
2017-2018 Regular Season,10/17/2017,Eric Gordon,SG,Houston,Golden State,R,29.4,9,16,0,6,6,8,0,1,1,1,1,1,2,2,24
2017-2018 Regular Season,10/17/2017,Luc Mbah a Moute,PF,Houston,Golden State,R,23.4,6,9,2,3,0,0,2,2,4,0,1,0,2,0,14
2017-2018 Regular Season,10/17/2017,Kevin Durant,SF,Golden State,Houston,H,37.6,7,15,2,5,4,5,1,4,5,7,4,0,8,4,20
2017-2018 Regular Season,10/17/2017,Draymond Green,PF,Golden State,Houston,H,27.7,2,6,1,2,4,4,1,10,11,13,3,0,2,0,9
2017-2018 Regular Season,10/17/2017,Zaza Pachulia,C,Golden State,Houston,H,10.2,2,2,0,0,2,2,0,3,3,0,1,0,0,1,6
2017-2018 Regular Season,10/17/2017,Klay Thompson,SG,Golden State,Houston,H,38.2,6,14,4,7,0,0,0,6,6,3,0,2,1,2,16
2017-2018 Regular Season,10/17/2017,Stephen Curry,PG,Golden State,Houston,H,29.6,8,18,3,9,3,3,0,5,5,4,4,1,2,0,22
2017-2018 Regular Season,10/17/2017,Patrick McCaw,SG,Golden State,Houston,H,18.7,2,3,0,0,0,0,1,2,3,1,1,1,0,1,4
2017-2018 Regular Season,10/17/2017,Jordan Bell,PF,Golden State,Houston,H,11.8,4,5,0,0,0,0,0,1,1,1,4,0,1,0,8
2017-2018 Regular Season,10/17/2017,Nick Young,SG,Golden State,Houston,H,26.2,8,9,6,7,1,1,1,1,2,0,4,0,1,0,23
2017-2018 Regular Season,10/17/2017,Shaun Livingston,PG,Golden State,Houston,H,18.5,2,5,0,0,2,2,1,0,1,5,2,0,1,0,6
2017-2018 Regular Season,10/17/2017,Omri Casspi,SF,Golden State,Houston,H,4.5,0,0,0,0,2,2,0,1,1,0,0,0,0,0,2
2017-2018 Regular Season,10/17/2017,Kevon Looney,PF,Golden State,Houston,H,7.8,0,0,0,0,1,2,0,2,2,0,2,1,0,0,1
2017-2018 Regular Season,10/17/2017,David West,PF,Golden State,Houston,H,9.4,2,3,0,0,0,0,1,0,1,0,0,0,1,1,4
2017-2018 Regular Season,10/18/2017,Marvin Williams,PF,Charlotte,Detroit,R,26.7,2,5,2,4,1,2,0,2,2,0,2,0,0,0,7
2017-2018 Regular Season,10/18/2017,Dwayne Bacon,SG,Charlotte,Detroit,R,20.5,3,6,2,4,0,0,0,2,2,2,1,0,2,0,8
2017-2018 Regular Season,10/18/2017,Dwight Howard,C,Charlotte,Detroit,R,31.5,5,9,0,0,0,2,1,14,15,1,2,1,3,2,10
2017-2018 Regular Season,10/18/2017,Jeremy Lamb,SG,Charlotte,Detroit,R,28.4,4,10,0,3,7,8,0,4,4,2,2,1,2,0,15
2017-2018 Regular Season,10/18/2017,Kemba Walker,PG,Charlotte,Detroit,R,35.4,6,13,1,3,11,13,1,5,6,4,1,0,4,0,24
2017-2018 Regular Season,10/18/2017,Frank Kaminsky,C,Charlotte,Detroit,R,23.2,1,9,0,5,2,2,0,4,4,2,0,0,0,0,4
2017-2018 Regular Season,10/18/2017,Malik Monk,SG,Charlotte,Detroit,R,21.5,1,9,1,6,0,0,0,0,0,1,1,0,3,0,3
2017-2018 Regular Season,10/18/2017,Cody Zeller,PF,Charlotte,Detroit,R,23.4,3,5,0,0,2,2,1,8,9,0,2,0,2,1,8
2017-2018 Regular Season,10/18/2017,Julyan Stone,PG,Charlotte,Detroit,R,12.6,2,3,2,3,0,0,0,3,3,1,3,2,1,0,6
2017-2018 Regular Season,10/18/2017,Treveon Graham,SG,Charlotte,Detroit,R,17.0,2,4,1,2,0,0,0,2,2,3,1,0,0,0,5
2017-2018 Regular Season,10/18/2017,Stanley Johnson,SF,Detroit,Charlotte,H,40.3,0,13,0,6,2,2,1,3,4,1,1,4,0,0,2
2017-2018 Regular Season,10/18/2017,Tobias Harris,PF,Detroit,Charlotte,H,34.1,11,18,4,7,1,1,2,8,10,3,3,0,1,0,27
2017-2018 Regular Season,10/18/2017,Andre Drummond,C,Detroit,Charlotte,H,22.4,3,9,0,0,2,2,5,8,13,4,3,1,0,2,8
2017-2018 Regular Season,10/18/2017,Avery Bradley,SG,Detroit,Charlotte,H,23.3,7,10,0,0,1,1,0,2,2,1,4,0,2,0,15
2017-2018 Regular Season,10/18/2017,Reggie Jackson,PG,Detroit,Charlotte,H,27.2,5,10,0,1,3,3,1,4,5,8,2,1,0,0,13
2017-2018 Regular Season,10/18/2017,Eric Moreland,PF,Detroit,Charlotte,H,11.7,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0
2017-2018 Regular Season,10/18/2017,Jon Leuer,PF,Detroit,Charlotte,H,19.4,2,6,0,1,0,1,0,3,3,0,0,0,1,1,4
2017-2018 Regular Season,10/18/2017,Ish Smith,PG,Detroit,Charlotte,H,20.8,2,9,0,1,0,0,0,1,1,6,4,1,3,0,4
2017-2018 Regular Season,10/18/2017,Langston Galloway,PG,Detroit,Charlotte,H,24.7,6,11,3,6,1,1,0,4,4,0,0,3,1,0,16
2017-2018 Regular Season,10/18/2017,Henry Ellenson,PF,Detroit,Charlotte,H,16.2,5,10,2,4,1,1,0,4,4,1,2,1,0,0,13
2017-2018 Regular Season,10/18/2017,Rondae Hollis-Jefferson,SF,Brooklyn,Indiana,R,27.6,3,4,0,0,8,8,0,4,4,2,3,1,1,0,14
2017-2018 Regular Season,10/18/2017,DeMarre Carroll,SF,Brooklyn,Indiana,R,27.5,4,12,1,5,1,2,2,7,9,2,2,1,2,0,10
2017-2018 Regular Season,10/18/2017,Timofey Mozgov,C,Brooklyn,Indiana,R,14.4,2,4,0,1,0,0,1,2,3,0,1,0,2,0,4
2017-2018 Regular Season,10/18/2017,D'Angelo Russell,PG,Brooklyn,Indiana,R,30.5,12,22,4,8,2,2,1,2,3,5,4,1,2,0,30
2017-2018 Regular Season,10/18/2017,Jeremy Lin,PG,Brooklyn,Indiana,R,25.2,5,12,1,2,7,7,0,0,0,4,3,0,3,0,18
2017-2018 Regular Season,10/18/2017,Quincy Acy,PF,Brooklyn,Indiana,R,15.9,3,5,3,5,0,0,0,2,2,0,3,0,3,0,9
2017-2018 Regular Season,10/18/2017,Allen Crabbe,SG,Brooklyn,Indiana,R,26.8,3,5,2,3,4,5,0,7,7,1,2,2,2,1,12
2017-2018 Regular Season,10/18/2017,Trevor Booker,PF,Brooklyn,Indiana,R,27.9,7,10,0,1,6,7,6,4,10,0,2,0,2,0,20
2017-2018 Regular Season,10/18/2017,Caris LeVert,SG,Brooklyn,Indiana,R,27.8,5,15,1,4,1,1,0,2,2,4,3,2,1,1,12
2017-2018 Regular Season,10/18/2017,Spencer Dinwiddie,PG,Brooklyn,Indiana,R,16.5,1,5,0,1,0,0,1,2,3,4,2,0,2,0,2
2017-2018 Regular Season,10/18/2017,Bojan Bogdanovic,SF,Indiana,Brooklyn,H,29.4,5,9,1,3,3,3,0,0,0,0,2,0,3,0,14
2017-2018 Regular Season,10/18/2017,Thaddeus Young,PF,Indiana,Brooklyn,H,33.3,7,16,1,5,2,2,5,6,11,3,3,2,2,2,17
2017-2018 Regular Season,10/18/2017,Myles Turner,C,Indiana,Brooklyn,H,34.0,8,13,1,3,4,4,3,11,14,2,3,0,1,4,21
2017-2018 Regular Season,10/18/2017,Victor Oladipo,SG,Indiana,Brooklyn,H,24.6,6,12,2,6,8,10,0,5,5,4,5,4,3,0,22
2017-2018 Regular Season,10/18/2017,Darren Collison,PG,Indiana,Brooklyn,H,30.2,9,12,1,3,2,3,1,2,3,11,1,2,2,0,21
2017-2018 Regular Season,10/18/2017,Lance Stephenson,SG,Indiana,Brooklyn,H,24.2,6,19,2,9,2,5,0,1,1,3,3,1,1,1,16
2017-2018 Regular Season,10/18/2017,Cory Joseph,SG,Indiana,Brooklyn,H,24.7,4,10,1,2,2,2,1,2,3,4,1,2,1,1,11
2017-2018 Regular Season,10/18/2017,Domantas Sabonis,PF,Indiana,Brooklyn,H,19.2,7,7,0,0,2,3,4,3,7,1,3,0,1,0,16
2017-2018 Regular Season,10/18/2017,Damien Wilkins,SG,Indiana,Brooklyn,H,11.0,1,3,0,2,0,0,0,1,1,0,1,1,0,0,2
2017-2018 Regular Season,10/18/2017,TJ Leaf,PF,Indiana,Brooklyn,H,9.5,0,1,0,1,0,0,0,2,2,1,3,0,0,1,0
2017-2018 Regular Season,10/18/2017,Josh Richardson,SG,Miami,Orlando,R,35.2,4,9,2,7,0,0,0,2,2,2,3,0,2,1,10
2017-2018 Regular Season,10/18/2017,Kelly Olynyk,C,Miami,Orlando,R,20.8,3,7,1,2,3,3,0,5,5,3,4,0,0,0,10
2017-2018 Regular Season,10/18/2017,Hassan Whiteside,C,Miami,Orlando,R,36.5,11,18,1,1,3,3,5,17,22,1,1,0,1,1,26
2017-2018 Regular Season,10/18/2017,Dion Waiters,SG,Miami,Orlando,R,38.3,7,17,1,6,0,0,0,0,0,4,1,2,3,1,15
2017-2018 Regular Season,10/18/2017,Goran Dragic,PG,Miami,Orlando,R,30.6,6,19,1,4,4,4,3,2,5,6,0,1,0,0,17
2017-2018 Regular Season,10/18/2017,Tyler Johnson,SG,Miami,Orlando,R,21.3,3,9,1,3,0,0,0,2,2,1,2,0,1,0,7
2017-2018 Regular Season,10/18/2017,James Johnson,PF,Miami,Orlando,R,18.7,5,9,0,2,1,4,2,2,4,8,5,1,4,1,11
2017-2018 Regular Season,10/18/2017,Justise Winslow,SF,Miami,Orlando,R,23.3,4,8,1,1,1,2,1,3,4,2,2,1,1,0,10
2017-2018 Regular Season,10/18/2017,Bam Adebayo,PF,Miami,Orlando,R,5.7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2017-2018 Regular Season,10/18/2017,Wayne Ellington,SG,Miami,Orlando,R,9.7,1,5,0,4,1,1,0,0,0,0,0,1,1,0,3
2017-2018 Regular Season,10/18/2017,Evan Fournier,SG,Orlando,Miami,H,34.4,9,17,3,5,2,2,0,1,1,3,0,1,1,0,23
2017-2018 Regular Season,10/18/2017,Aaron Gordon,SF,Orlando,Miami,H,34.4,4,13,1,2,5,6,2,7,9,3,4,0,1,2,14
2017-2018 Regular Season,10/18/2017,Nikola Vucevic,C,Orlando,Miami,H,31.6,6,12,0,3,7,8,2,11,13,1,1,2,1,2,19
2017-2018 Regular Season,10/18/2017,Terrence Ross,SF,Orlando,Miami,H,31.2,5,11,3,7,2,2,0,6,6,4,0,2,1,1,15
2017-2018 Regular Season,10/18/2017,Elfrid Payton,PG,Orlando,Miami,H,31.9,6,12,1,1,0,2,0,3,3,9,2,3,4,1,13
2017-2018 Regular Season,10/18/2017,Jonathon Simmons,SG,Orlando,Miami,H,27.5,5,10,0,1,2,2,1,1,2,0,4,0,1,0,12
2017-2018 Regular Season,10/18/2017,Bismack Biyombo,C,Orlando,Miami,H,16.1,4,8,0,0,1,2,2,3,5,0,3,0,3,2,9
2017-2018 Regular Season,10/18/2017,Jonathan Isaac,SF,Orlando,Miami,H,16.7,2,3,0,1,0,0,3,5,8,0,3,0,0,2,4
2017-2018 Regular Season,10/18/2017,D.J. Augustin,PG,Orlando,Miami,H,16.1,2,4,0,1,3,5,1,3,4,2,1,0,2,0,7
2017-2018 Regular Season,10/18/2017,Robert Covington,SF,Philadelphia,Washington,R,29.1,9,15,7,11,4,4,2,5,7,1,4,1,5,2,29
2017-2018 Regular Season,10/18/2017,Ben Simmons,PG,Philadelphia,Washington,R,34.7,7,15,0,0,4,6,3,7,10,5,3,2,1,1,18
2017-2018 Regular Season,10/18/2017,Joel Embiid,C,Philadelphia,Washington,R,27.0,7,15,0,4,4,4,1,12,13,3,2,0,4,1,18
2017-2018 Regular Season,10/18/2017,JJ Redick,SG,Philadelphia,Washington,R,32.4,4,10,4,8,0,0,0,2,2,4,4,1,2,0,12
2017-2018 Regular Season,10/18/2017,Jerryd Bayless,PG,Philadelphia,Washington,R,27.9,5,10,3,7,0,0,0,3,3,3,4,1,2,0,13
2017-2018 Regular Season,10/18/2017,Amir Johnson,PF,Philadelphia,Washington,R,15.1,2,7,0,0,1,2,1,4,5,1,6,0,1,0,5
2017-2018 Regular Season,10/18/2017,Markelle Fultz,PG,Philadelphia,Washington,R,17.9,5,9,0,0,0,2,2,1,3,1,0,0,0,1,10
2017-2018 Regular Season,10/18/2017,Dario Saric,PF,Philadelphia,Washington,R,22.7,1,5,0,2,1,1,1,2,3,2,3,0,0,1,3
2017-2018 Regular Season,10/18/2017,T.J. McConnell,PG,Philadelphia,Washington,R,14.9,1,2,0,0,0,0,0,0,0,3,0,0,2,0,2
2017-2018 Regular Season,10/18/2017,Timothe Luwawu-Cabarrot,SF,Philadelphia,Washington,R,18.4,2,6,1,3,0,0,1,1,2,2,2,1,0,0,5
2017-2018 Regular Season,10/18/2017,Otto Porter Jr.,SF,Washington,Philadelphia,H,33.2,5,11,0,3,0,0,2,6,8,0,3,3,0,1,10
2017-2018 Regular Season,10/18/2017,Jason Smith,C,Washington,Philadelphia,H,7.1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
2017-2018 Regular Season,10/18/2017,Marcin Gortat,C,Washington,Philadelphia,H,34.4,7,12,0,0,2,3,5,12,17,1,3,0,1,3,16
2017-2018 Regular Season,10/18/2017,Bradley Beal,SG,Washington,Philadelphia,H,35.6,6,17,1,4,12,16,2,4,6,4,2,3,2,1,25
2017-2018 Regular Season,10/18/2017,John Wall,PG,Washington,Philadelphia,H,37.2,10,28,0,3,8,9,2,3,5,8,2,0,2,2,28
2017-2018 Regular Season,10/18/2017,Kelly Oubre Jr.,SF,Washington,Philadelphia,H,32.5,5,10,3,6,1,3,2,6,8,2,2,2,0,2,14
2017-2018 Regular Season,10/18/2017,Mike Scott,PF,Washington,Philadelphia,H,14.8,3,6,1,3,0,0,0,2,2,0,0,0,1,0,7
2017-2018 Regular Season,10/18/2017,Jodie Meeks,SG,Washington,Philadelphia,H,19.1,3,8,1,2,7,7,0,1,1,0,0,0,0,0,14
2017-2018 Regular Season,10/18/2017,Ian Mahinmi,C,Washington,Philadelphia,H,13.6,3,3,0,0,0,0,2,2,4,1,4,0,1,1,6
2017-2018 Regular Season,10/18/2017,Tim Frazier,PG,Washington,Philadelphia,H,12.6,0,1,0,0,0,0,0,0,0,5,3,0,2,0,0
2017-2018 Regular Season,10/18/2017,Giannis Antetokounmpo,SG,Milwaukee,Boston,R,36.9,13,22,0,1,11,13,1,12,13,3,4,3,5,0,37
2017-2018 Regular Season,10/18/2017,Khris Middleton,PF,Milwaukee,Boston,R,43.4,6,17,1,5,2,2,2,7,9,6,4,2,5,0,15
2017-2018 Regular Season,10/18/2017,Thon Maker,PF,Milwaukee,Boston,R,13.8,1,4,0,1,0,0,2,1,3,0,1,1,1,0,2
2017-2018 Regular Season,10/18/2017,Tony Snell,SF,Milwaukee,Boston,R,29.5,2,4,1,3,0,0,0,4,4,1,4,0,0,0,5
2017-2018 Regular Season,10/18/2017,Malcolm Brogdon,SG,Milwaukee,Boston,R,41.4,6,10,3,5,4,4,0,1,1,4,2,0,2,0,19
2017-2018 Regular Season,10/18/2017,Greg Monroe,C,Milwaukee,Boston,R,16.8,4,5,0,0,2,4,1,5,6,1,3,0,0,0,10
2017-2018 Regular Season,10/18/2017,Matthew Dellavedova,PG,Milwaukee,Boston,R,26.5,4,10,2,4,5,5,0,1,1,1,2,0,1,0,15
2017-2018 Regular Season,10/18/2017,John Henson,C,Milwaukee,Boston,R,17.2,2,2,0,0,1,2,0,6,6,2,2,0,1,4,5
2017-2018 Regular Season,10/18/2017,Mirza Teletovic,PF,Milwaukee,Boston,R,11.1,0,2,0,2,0,0,0,2,2,1,0,0,0,0,0
2017-2018 Regular Season,10/18/2017,Rashad Vaughn,SG,Milwaukee,Boston,R,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018 Regular Season,10/18/2017,Jaylen Brown,SF,Boston,Milwaukee,H,28.2,6,11,2,3,4,5,1,4,5,3,6,0,0,0,18
2017-2018 Regular Season,10/18/2017,Jayson Tatum,SF,Boston,Milwaukee,H,36.6,3,7,0,1,2,5,2,7,9,2,3,1,2,0,8
2017-2018 Regular Season,10/18/2017,Al Horford,C,Boston,Milwaukee,H,33.4,6,11,0,2,1,1,1,5,6,4,3,3,2,2,13
2017-2018 Regular Season,10/18/2017,Marcus Smart,PG,Boston,Milwaukee,H,32.3,4,13,3,7,1,6,3,4,7,4,4,3,3,0,12
2017-2018 Regular Season,10/18/2017,Kyrie Irving,PG,Boston,Milwaukee,H,38.9,7,25,2,7,1,2,1,3,4,3,1,3,3,0,17
2017-2018 Regular Season,10/18/2017,Abdel Nader,SF,Boston,Milwaukee,H,11.4,2,4,0,1,0,0,0,0,0,1,1,0,0,0,4
2017-2018 Regular Season,10/18/2017,Aron Baynes,C,Boston,Milwaukee,H,16.0,2,3,0,0,0,0,1,1,2,0,4,0,0,0,4
2017-2018 Regular Season,10/18/2017,Terry Rozier,PG,Boston,Milwaukee,H,26.8,6,12,3,5,0,0,0,7,7,6,4,2,0,0,15
2017-2018 Regular Season,10/18/2017,Daniel Theis,PF,Boston,Milwaukee,H,4.8,2,3,0,0,2,2,2,0,2,0,1,0,1,0,6
2017-2018 Regular Season,10/18/2017,Semi Ojeleye,PF,Boston,Milwaukee,H,11.7,1,2,1,2,0,0,0,1,1,0,0,0,1,0,3
2017-2018 Regular Season,10/18/2017,Dante Cunningham,SF,New Orleans,Memphis,R,25.9,2,4,1,3,2,3,3,6,9,0,1,1,0,1,7
2017-2018 Regular Season,10/18/2017,Anthony Davis,PF,New Orleans,Memphis,R,40.2,9,23,1,2,14,17,7,11,18,0,5,0,5,1,33
2017-2018 Regular Season,10/18/2017,DeMarcus Cousins,C,New Orleans,Memphis,R,38.4,9,21,3,9,7,8,2,8,10,2,4,0,4,7,28
2017-2018 Regular Season,10/18/2017,E'Twaun Moore,SG,New Orleans,Memphis,R,34.4,5,11,0,2,1,1,1,1,2,4,3,1,2,0,11
2017-2018 Regular Season,10/18/2017,Jrue Holiday,PG,New Orleans,Memphis,R,38.5,2,11,0,3,0,0,2,4,6,4,5,1,3,0,4
2017-2018 Regular Season,10/18/2017,Ian Clark,SG,New Orleans,Memphis,R,21.1,1,3,1,3,0,0,0,3,3,2,3,1,1,0,3
2017-2018 Regular Season,10/18/2017,Darius Miller,SF,New Orleans,Memphis,R,17.2,0,1,0,1,0,0,0,0,0,0,4,0,0,1,0
2017-2018 Regular Season,10/18/2017,Tony Allen,SG,New Orleans,Memphis,R,10.9,0,1,0,0,0,0,0,2,2,0,2,0,1,2,0
2017-2018 Regular Season,10/18/2017,Jordan Crawford,SG,New Orleans,Memphis,R,12.7,2,4,1,2,0,0,1,0,1,3,4,0,2,0,5
2017-2018 Regular Season,10/18/2017,Cheick Diallo,PF,New Orleans,Memphis,R,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018 Regular Season,10/18/2017,James Ennis III,SF,Memphis,New Orleans,H,18.6,2,2,1,1,0,0,1,0,1,2,0,0,0,0,5
2017-2018 Regular Season,10/18/2017,JaMychal Green,PF,Memphis,New Orleans,H,3.9,1,2,0,0,0,0,0,1,1,1,1,0,0,0,2
2017-2018 Regular Season,10/18/2017,Marc Gasol,C,Memphis,New Orleans,H,29.4,6,18,2,5,0,0,3,8,11,4,6,0,2,3,14
2017-2018 Regular Season,10/18/2017,Andrew Harrison,SG,Memphis,New Orleans,H,19.2,1,6,0,0,0,0,0,2,2,1,2,0,1,1,2
2017-2018 Regular Season,10/18/2017,Mike Conley,PG,Memphis,New Orleans,H,32.7,9,15,4,9,5,7,0,5,5,3,3,2,1,0,27
2017-2018 Regular Season,10/18/2017,Brandan Wright,PF,Memphis,New Orleans,H,26.8,5,7,0,0,0,2,3,1,4,0,2,2,0,1,10
2017-2018 Regular Season,10/18/2017,Dillon Brooks,SF,Memphis,New Orleans,H,29.4,7,13,0,2,5,7,2,3,5,2,2,4,2,2,19
2017-2018 Regular Season,10/18/2017,Mario Chalmers,PG,Memphis,New Orleans,H,25.6,1,9,0,4,3,5,0,2,2,4,3,0,0,0,5
2017-2018 Regular Season,10/18/2017,Tyreke Evans,SF,Memphis,New Orleans,H,20.1,4,12,1,4,2,2,1,4,5,2,3,0,1,0,11
2017-2018 Regular Season,10/18/2017,Chandler Parsons,SF,Memphis,New Orleans,H,15.3,2,2,1,1,1,5,2,2,4,0,2,1,0,0,6
2017-2018 Regular Season,10/18/2017,Jarell Martin,PF,Memphis,New Orleans,H,19.3,1,6,0,3,0,0,3,2,5,0,5,0,4,1,2
2017-2018 Regular Season,10/18/2017,Taurean Prince,SF,Atlanta,Dallas,R,25.9,4,10,0,0,2,2,2,8,10,1,2,0,1,1,10
2017-2018 Regular Season,10/18/2017,Ersan Ilyasova,PF,Atlanta,Dallas,R,23.8,2,4,0,1,2,2,3,3,6,0,5,1,0,1,6
2017-2018 Regular Season,10/18/2017,Dewayne Dedmon,C,Atlanta,Dallas,R,25.6,3,6,0,0,3,4,2,5,7,1,2,0,4,3,9
2017-2018 Regular Season,10/18/2017,Kent Bazemore,SF,Atlanta,Dallas,R,26.6,3,7,1,1,0,0,1,3,4,3,2,1,1,0,7
2017-2018 Regular Season,10/18/2017,Dennis Schroder,PG,Atlanta,Dallas,R,34.3,13,26,1,3,1,2,0,2,2,7,1,2,2,0,28
2017-2018 Regular Season,10/18/2017,John Collins,PF,Atlanta,Dallas,R,22.4,6,10,0,0,2,3,3,2,5,1,1,2,1,0,14
2017-2018 Regular Season,10/18/2017,Marco Belinelli,SG,Atlanta,Dallas,R,25.7,7,14,4,6,2,2,0,3,3,3,0,3,1,0,20
2017-2018 Regular Season,10/18/2017,Mike Muscala,C,Atlanta,Dallas,R,13.5,2,3,0,1,0,0,1,3,4,2,2,0,0,0,4
2017-2018 Regular Season,10/18/2017,Malcolm Delaney,PG,Atlanta,Dallas,R,11.3,2,4,1,2,0,0,0,1,1,0,1,0,1,0,5
2017-2018 Regular Season,10/18/2017,DeAndre' Bembry,SF,Atlanta,Dallas,R,17.8,3,6,0,1,0,0,1,5,6,1,0,2,2,1,6
2017-2018 Regular Season,10/18/2017,Josh Magette,PG,Atlanta,Dallas,R,4.2,1,1,1,1,0,0,0,1,1,1,2,0,0,0,3
2017-2018 Regular Season,10/18/2017,Luke Babbitt,SF,Atlanta,Dallas,R,8.9,2,3,1,2,0,0,1,0,1,0,0,0,0,0,5
2017-2018 Regular Season,10/18/2017,Wesley Matthews,SG,Dallas,Atlanta,H,37.1,5,12,5,9,0,0,2,6,8,5,4,1,5,0,15
2017-2018 Regular Season,10/18/2017,Harrison Barnes,SF,Dallas,Atlanta,H,38.1,3,13,0,6,8,9,1,6,7,3,0,1,2,0,14
2017-2018 Regular Season,10/18/2017,Dirk Nowitzki,PF,Dallas,Atlanta,H,24.5,4,14,2,7,0,1,1,5,6,0,3,0,0,0,10
2017-2018 Regular Season,10/18/2017,Yogi Ferrell,PG,Dallas,Atlanta,H,31.6,3,7,3,4,0,0,0,0,0,2,2,1,0,0,9
2017-2018 Regular Season,10/18/2017,Dennis Smith Jr.,PG,Dallas,Atlanta,H,29.9,6,12,1,4,3,4,2,1,3,10,2,0,3,0,16
2017-2018 Regular Season,10/18/2017,Nerlens Noel,PF,Dallas,Atlanta,H,19.6,6,6,0,0,4,4,2,9,11,0,2,1,0,3,16
2017-2018 Regular Season,10/18/2017,J.J. Barea,PG,Dallas,Atlanta,H,18.1,4,7,3,5,2,2,0,3,3,5,1,0,0,0,13
